Days	A_HTO	Flux
y_axis	2	1
0.0	0	0
0.5		3.699E-03
1.0	2.653E-04	 
1.5		5.798E-01
2.0	4.184E-02	 
2.5		1.042E+00
3.0	1.166E-01	 
3.5		1.338E+00
4.0	2.125E-01	 
4.5		1.455E+00
5.0	3.168E-01	 
5.5		1.606E+00
6.0	4.272E-01	 
6.5		1.546E+00
7.0	5.427E-01	 
7.5		1.633E+00
8.0	6.598E-01	 
8.5		1.539E+00
9.0	7.701E-01	 
9.5		1.618E+00
10.0	8.865E-01	 
10.5		1.545E+00
11.0	9.973E-01	 
11.5		1.599E+00
12.0	1.112E+00	 
12.5		1.565E+00
13.0	1.224E+00	 
13.5		1.563E+00
14.0	1.336E+00	 
14.5		1.565E+00
15.0	1.448E+00	 
15.5		1.550E+00
16.0	1.559E+00	 
16.5		1.528E+00
17.0	1.669E+00	 
17.5		1.503E+00
18.0	1.777E+00	
